"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Gintautas\Desktop\Bakis\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Gintautas\Desktop\Bakis\frontend\package-lock.json", "JSON", 0, 0, 0, 28140, 0, 0, 1, 28141
"c:\Users\Gintautas\Desktop\Bakis\frontend\package.json", "JSON", 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\Gintautas\Desktop\Bakis\frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Gintautas\Desktop\Bakis\frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\API.js", "JavaScript", 145, 0, 0, 0, 0, 0, 12, 157
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\AdjustComponent.js", "JavaScript", 84, 0, 0, 0, 0, 1, 4, 89
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\AdminPage.js", "JavaScript", 123, 0, 0, 0, 0, 1, 8, 132
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\ItemComponetn.js", "JavaScript", 36, 0, 0, 0, 0, 0, 2, 38
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\ListComponent.js", "JavaScript", 147, 0, 0, 0, 0, 1, 4, 152
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\RowComponent.js", "JavaScript", 104, 0, 0, 0, 0, 0, 3, 107
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\App.css", "CSS", 0, 300, 0, 0, 0, 11, 52, 363
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\App.js", "JavaScript", 36, 0, 0, 0, 0, 0, 4, 40
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\BLE.js", "JavaScript", 226, 0, 0, 0, 0, 161, 31, 418
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\ConstellationList\AddConstellation.js", "JavaScript", 153, 0, 0, 0, 0, 0, 5, 158
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\ConstellationList\ConstellationList.js", "JavaScript", 77, 0, 0, 0, 0, 0, 3, 80
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\ConstellationList\ConstellationRow.js", "JavaScript", 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\ConstellationList\EditConstellation.js", "JavaScript", 168, 0, 0, 0, 0, 0, 8, 176
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\Menu.js", "JavaScript", 195, 0, 0, 0, 0, 0, 11, 206
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarList\AddStar.js", "JavaScript", 93, 0, 0, 0, 0, 0, 4, 97
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarList\EditStar.js", "JavaScript", 100, 0, 0, 0, 0, 0, 6, 106
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarList\StarList.js", "JavaScript", 70, 0, 0, 0, 0, 1, 3, 74
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarList\StarRow.js", "JavaScript", 66, 0, 0, 0, 0, 0, 3, 69
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarMap.js", "JavaScript", 60, 0, 0, 0, 0, 1, 9, 70
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\BLESlice.js", "JavaScript", 62, 0, 0, 0, 0, 0, 9, 71
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\ConstellationsSlice.js", "JavaScript", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\ListComponentSlice.js", "JavaScript", 90, 0, 0, 0, 0, 0, 4, 94
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\StarsSlice.js", "JavaScript", 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\adjustComponentSlice.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\otherBLESlice.js", "JavaScript", 47, 0, 0, 0, 0, 0, 4, 51
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\store.js", "JavaScript", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\utils.js", "JavaScript", 103, 0, 0, 0, 0, 0, 14, 117
"Total", "-", 2332, 300, 38, 28218, 20, 200, 259, 31367
